inventory   48px png=   6021 webp=   1954 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
inventory   64px png=   9948 webp=   2890 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
inventory   96px png=  20653 webp=   5218 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
inventory  128px png=  34885 webp=   7902 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
map         48px png=   5936 webp=   2004 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
map         64px png=   9805 webp=   2862 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
map         96px png=  20229 webp=   5238 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
map        128px png=  34217 webp=   7756 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
skills      48px png=   5899 webp=   1978 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
skills      64px png=   9695 webp=   2770 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
skills      96px png=  19951 webp=   4896 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
skills     128px png=  33730 webp=   7232 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
craft       48px png=   5954 webp=   2014 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
craft       64px png=   9787 webp=   2904 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
craft       96px png=  20198 webp=   5078 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
craft      128px png=  34000 webp=   7402 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
tutorial    48px png=   5891 webp=   1920 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
tutorial    64px png=   9779 webp=   2796 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
tutorial    96px png=  20224 webp=   5018 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
tutorial   128px png=  34092 webp=   7498 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
fog-war     48px png=   6189 webp=   1926 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
fog-war     64px png=  10197 webp=   2850 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
fog-war     96px png=  21171 webp=   5284 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
fog-war    128px png=  35913 webp=   7916 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
crouch      48px png=   5692 webp=   1866 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
crouch      64px png=   9387 webp=   2750 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
crouch      96px png=  19263 webp=   4658 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
crouch     128px png=  32588 webp=   7004 alpha=0-255 corners=[np.uint8(0), np.uint8(0), np.uint8(0), np.uint8(0)]
